address,county,property_type,square_feet,year_built,latitude,longitude,sale_date,sale_price,price_sf,buyer,seller,as_of_date
3434 HIGH FALLS RD,Butts,SFR,1869,1979,33.212027,-83.99862,2025-02-05,162500.0,86.94489031567683,0,0,2025.08.28
198 TAYLOR RD,Butts,SFR,1716,2004,33.296274,-83.939367,2025-04-28,100000.0,58.27505827505828,0,0,2025.08.28
224 BILES RD,Butts,SFR,1350,1985,33.323015,-83.945171,2025-04-03,239000.0,177.03703703703704,0,0,2025.08.28
141 SPRING DR,Butts,SFR,960,1985,33.357594,-83.877025,2025-04-07,300000.0,312.5,0,0,2025.08.28
2 OAK ST,Butts,SFR,6800,1940,33.295002,-83.967656,2025-02-11,325000.0,47.794117647058826,0,0,2025.08.28
1740 HIGHWAY 36 E,Butts,SFR,1446,1979,33.354267,-83.936268,2025-03-04,240000.0,165.97510373443984,0,0,2025.08.28
1916 HIGHWAY 36 W,Butts,SFR,1611,1957,33.264025,-83.994728,2025-02-25,240000.0,148.975791433892,0,0,2025.08.28
788 HILLCREST DR,Butts,SFR,1240,1999,33.285262,-83.971546,2025-02-10,233500.0,188.30645161290323,0,0,2025.08.28
194 LAKEVIEW RD,Butts,SFR,1325,1989,33.293027,-83.921114,2025-01-17,157413.0,118.8022641509434,0,0,2025.08.28
171 FORREST AVE,Butts,SFR,954,1990,33.294768,-83.977012,2025-03-31,174936.0,183.37106918238993,0,0,2025.08.28
188 WATKINS PARK AND POOL RD,Butts,SFR,1548,1943,33.280013,-83.936215,2025-03-10,195000.0,125.96899224806202,0,0,2025.08.28
140 SOUTHERN SHORES RD,Butts,SFR,1260,2003,33.396707,-83.900015,2025-04-24,230000.0,182.53968253968253,0,0,2025.08.28
112 FOREST CT,Butts,SFR,1658,2005,33.217516,-84.006494,2025-05-09,245000.0,147.76839565741858,0,0,2025.08.28
159 MATTIE THOMPSON RD,Butts,SFR,2130,2004,33.252687,-84.085588,2025-02-11,100000.0,46.948356807511736,0,0,2025.08.28
154 ELIZABETH CIR,Butts,SFR,580,1970,33.393018,-83.8991,2025-05-28,190000.0,327.58620689655174,0,0,2025.08.28
130 POCAHONTAS ST,Butts,SFR,1290,2005,33.389524,-83.89523,2025-02-11,215000.0,166.66666666666666,0,0,2025.08.28
2535 HIGHWAY 16 W,Butts,SFR,3130,1997,33.261501,-84.076904,2025-02-13,1895000.0,605.4313099041534,0,0,2025.08.28
2256 HIGHWAY 36 W,Butts,SFR,1244,0,33.250675,-84.017677,2025-04-14,150000.0,120.57877813504822,0,0,2025.08.28
110 BRUSHY CREEK LN,Butts,SFR,2744,2004,33.208988,-84.111808,2025-06-27,375000.0,136.66180758017492,0,0,2025.08.28
137 PINE BLUFF TRL,Butts,SFR,3716,1992,33.350487,-83.863197,2025-04-11,900000.0,242.19590958019376,0,0,2025.08.28
1148 HIGHWAY 42 S,Butts,SFR,944,1955,33.280622,-83.923968,2025-03-06,185000.0,195.97457627118644,0,0,2025.08.28
111 GLAVINE ST,Butts,SFR,1541,1999,33.255585,-84.061465,2025-03-03,197000.0,127.83906554185594,0,0,2025.08.28
114 BRIDGEWATER DR,Butts,SFR,1710,2001,33.370611,-83.889837,2025-02-05,221000.0,129.23976608187135,0,0,2025.08.28
135 KIMBROUGH RD,Butts,SFR,1067,1987,33.296518,-84.024334,2025-05-09,198000.0,185.56701030927834,0,0,2025.08.28
1913 HIGHWAY 36 W,Butts,SFR,1428,1971,33.266277,-83.997103,2025-02-26,381000.0,266.8067226890756,0,0,2025.08.28
953 HIGHWAY 36 E,Butts,SFR,1514,1960,33.315453,-83.962916,2025-02-11,88500.0,58.45442536327609,0,0,2025.08.28
150 MORNINGSIDE DR,Butts,SFR,1812,2002,33.410842,-83.94417,2025-04-08,270000.0,149.0066225165563,0,0,2025.08.28
107 WESTERIA WAY,Butts,SFR,1413,2003,33.341212,-83.974709,2025-05-28,275910.0,195.26539278131634,0,0,2025.08.28
107 WESTERIA WAY,Butts,SFR,1413,2003,33.341212,-83.974709,2025-05-21,281000.0,198.86765746638358,0,0,2025.08.28
120 EAGLE POINT DR,Butts,SFR,7698,1986,33.337931,-83.86179,2025-06-12,450000.0,58.456742010911924,0,0,2025.08.28
120 EAGLE POINT DR,Butts,SFR,7698,1986,33.337931,-83.86179,2025-04-11,350000.0,45.46635489737594,0,0,2025.08.28
258 WATSON ST,Butts,SFR,1242,1955,33.299342,-83.972368,2025-03-21,50000.0,40.25764895330113,0,0,2025.08.28
140 WILDWOOD RD,Butts,SFR,1680,1985,33.348167,-83.929236,2025-04-24,180000.0,107.14285714285714,0,0,2025.08.28
674 MOUNT VERNON CHURCH RD,Butts,SFR,1617,2005,33.222401,-83.967477,2025-02-12,260000.0,160.79158936301795,0,0,2025.08.28
136 KERMIT WILLIAMS RD,Butts,SFR,1897,1993,33.260583,-84.107397,2025-03-21,610000.0,321.56035846072746,0,0,2025.08.28
364 FINCHERVILLE RD,Butts,SFR,2378,2020,33.358442,-83.962629,2025-03-07,445000.0,187.13204373423045,0,0,2025.08.28
1433 BUCKSNORT RD,Butts,SFR,3101,2020,33.213421,-84.081472,2025-04-28,795000.0,256.3689132537891,0,0,2025.08.28
159 THOMAS DR,Butts,SFR,3014,1993,33.349359,-83.892093,2025-06-02,535000.0,177.50497677504976,0,0,2025.08.28
137 WW CARR AVE,Butts,SFR,1544,1902,33.293996,-83.951955,2025-01-28,140000.0,90.67357512953367,0,0,2025.08.28
218 BILES RD,Butts,SFR,1558,0,33.322557,-83.945047,2025-04-02,250000.0,160.46213093709883,0,0,2025.08.28
228 HARRIS RD,Butts,SFR,3200,1989,33.362008,-83.892115,2025-06-30,720000.0,225.0,0,0,2025.08.28
602 MOUNT VERNON CHURCH RD,Butts,SFR,2756,1966,33.222706,-83.961305,2025-05-08,230000.0,83.45428156748912,0,0,2025.08.28
280 STARK RD,Butts,SFR,1294,1989,33.310229,-83.947191,2025-02-20,257000.0,198.60896445131377,0,OPENDOOR,2025.08.28
143 HAMLIN RD,Butts,SFR,2083,1993,33.403275,-83.929509,2025-06-24,470000.0,225.6361017762842,0,0,2025.08.28
121 TYLER WAY,Butts,SFR,1960,2015,33.2172,-84.04139,2025-05-19,270000.0,137.75510204081633,0,0,2025.08.28
108 MOUNT VERNON RD,Butts,SFR,1251,2003,33.233218,-83.925585,2025-02-21,165000.0,131.89448441247004,0,0,2025.08.28
139 STONY BROOK CIR,Butts,SFR,1107,1999,33.311159,-83.985292,2025-02-25,244900.0,221.22854561878952,0,0,2025.08.28
120 TYLER WAY,Butts,SFR,1960,2005,33.216615,-84.041408,2025-01-16,241000.0,122.95918367346938,0,0,2025.08.28
127 WEAVERS LAKE FRONT RD,Butts,SFR,1677,2006,33.204794,-84.034656,2025-01-28,339900.0,202.68336314847943,0,0,2025.08.28
160 SAINT ANDREWS CT,Butts,SFR,4147,2006,33.277024,-83.947976,2025-04-18,470000.0,113.33494092114782,0,0,2025.08.28
20 OAK ST,Butts,SFR,20002,1940,33.294838,-83.967655,2025-02-11,625000.0,31.246875312468752,0,0,2025.08.28
